Date Tim	"e	Temperatu"	e  (*C)
9/7/2008	17:35	6.44
9/7/2008	17:35	6.44
9/7/2008	17:35	6.44
9/7/2008	17:35	6.44
9/7/2008	17:35	6.44
9/7/2008	17:35	6.44
9/7/2008	17:36	6.44
9/7/2008	17:36	6.44
9/7/2008	17:36	6.44
9/7/2008	17:36	6.44
9/7/2008	17:36	6.44
9/7/2008	17:36	6.44
9/7/2008	17:37	6.44
9/7/2008	17:37	6.44
9/7/2008	17:37	6.44
9/7/2008	17:37	6.44
9/7/2008	17:37	6.44
9/7/2008	17:37	6.44
9/7/2008	17:38	6.44
9/7/2008	17:38	6.44
9/7/2008	17:38	6.44
9/7/2008	17:38	6.44
9/7/2008	17:38	6.44
9/7/2008	17:38	6.44
9/7/2008	17:39	6.44
9/7/2008	17:39	6.44
9/7/2008	17:39	6.44
9/7/2008	17:39	6.44
9/7/2008	17:39	6.44
9/7/2008	17:39	6.44
9/7/2008	17:40	6.44
9/7/2008	17:40	6.44
9/7/2008	17:40	6.44
9/7/2008	17:40	6.44
9/7/2008	17:40	6.44
9/7/2008	17:40	6.44
9/7/2008	17:41	6.44
9/7/2008	17:41	6.44
9/7/2008	17:41	6.44
9/7/2008	17:41	6.44
9/7/2008	17:41	6.44
9/7/2008	17:41	6.44
9/7/2008	17:42	6.44
9/7/2008	17:42	6.44
9/7/2008	17:42	6.44
9/7/2008	17:42	6.44
9/7/2008	17:42	6.44
9/7/2008	17:42	6.44
9/7/2008	17:43	6.44
9/7/2008	17:43	6.44
9/7/2008	17:43	6.44
9/7/2008	17:43	6.44
9/7/2008	17:43	6.44
9/7/2008	17:43	6.44
9/7/2008	17:44	6.44
9/7/2008	17:44	6.44
9/7/2008	17:44	6.44
9/7/2008	17:44	6.44
9/7/2008	17:44	6.44
9/7/2008	17:44	6.44
9/7/2008	17:45	6.44
9/7/2008	17:45	6.44
9/7/2008	17:45	6.44
9/7/2008	17:45	6.44
9/7/2008	17:45	6.44
9/7/2008	17:45	6.44
9/7/2008	17:46	6.44
