"","Year","Survey","Leg","Site","Sex","CW","Recruit.Status","Shell.Condition","Egg.Development","Leg.Condition","Bitter","Egg.Percent","Blackmat","Latitude","Longitude","Jul.Day","Depth","Temp","temp_avg"
"79",2009,"RKC",1,"Barlow_Cove","2",103,"Mature_Female","3","Uneyed","0","0",100,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"80",2009,"RKC",1,"Barlow_Cove","2",89,"Mature_Female","5","Uneyed","0","0",80,"1",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"81",2009,"RKC",1,"Barlow_Cove","2",97,"Mature_Female","4","Uneyed","0","0",100,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"82",2009,"RKC",1,"Barlow_Cove","2",104,"Mature_Female","4","Uneyed","1","0",80,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"83",2009,"RKC",1,"Barlow_Cove","2",91,"Mature_Female","3","Uneyed","0","0",100,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"84",2009,"RKC",1,"Barlow_Cove","2",110,"Mature_Female","4","Uneyed","0","0",90,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"85",2009,"RKC",1,"Barlow_Cove","2",93,"Mature_Female","4","Uneyed","0","0",100,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"86",2009,"RKC",1,"Barlow_Cove","2",99,"Mature_Female","3","Uneyed","1","0",70,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"87",2009,"RKC",1,"Barlow_Cove","2",98,"Mature_Female","3","Uneyed","1","0",100,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"88",2009,"RKC",1,"Barlow_Cove","2",89,"Mature_Female","3","Uneyed","0","0",100,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"89",2009,"RKC",1,"Barlow_Cove","2",112,"Mature_Female","4","Uneyed","1","0",70,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"90",2009,"RKC",1,"Barlow_Cove","2",93,"Mature_Female","3","Uneyed","0","0",80,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"91",2009,"RKC",1,"Barlow_Cove","2",95,"Mature_Female","4","Uneyed","1","0",90,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"93",2009,"RKC",1,"Barlow_Cove","2",91,"Mature_Female","3","Uneyed","0","0",70,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"95",2009,"RKC",1,"Barlow_Cove","2",98,"Mature_Female","3","Uneyed","0","0",70,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"98",2009,"RKC",1,"Barlow_Cove","2",87,"Mature_Female","3","Uneyed","0","0",60,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"99",2009,"RKC",1,"Barlow_Cove","2",82,"Mature_Female","4","Uneyed","1","0",90,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"100",2009,"RKC",1,"Barlow_Cove","2",88,"Mature_Female","3","Uneyed","0","0",70,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"103",2009,"RKC",1,"Barlow_Cove","2",91,"Mature_Female","3","Uneyed","1","0",100,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"105",2009,"RKC",1,"Barlow_Cove","2",85,"Mature_Female","3","Uneyed","0","0",80,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"106",2009,"RKC",1,"Barlow_Cove","2",104,"Mature_Female","3","Uneyed","1","0",70,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
